3008 - [2024-04-12 11:42:55,326] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02597212791442871 | Chamado pela 5 vez | Arquivo:D
16848 - [2024-04-12 11:42:55,468] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02704167366027832 | Chamado pela 6 vez | Arquivo:D
5860 - [2024-04-12 11:42:55,592] : DEBUG -> Tam_entrada: 10000| T_execução: 0.025562763214111328 | Chamado pela 7 vez | Arquivo:D
16684 - [2024-04-12 11:42:55,716] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02419304847717285 | Chamado pela 8 vez | Arquivo:D
708 - [2024-04-12 11:42:55,838] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02400803565979004 | Chamado pela 9 vez | Arquivo:D
6600 - [2024-04-12 11:42:55,967] : DEBUG -> Tam_entrada: 10000| T_execução: 0.024142980575561523 | Chamado pela 10 vez | Arquivo:D
12700 - [2024-04-12 11:42:56,090] : DEBUG -> Tam_entrada: 10000| T_execução: 0.021030187606811523 | Chamado pela 11 vez | Arquivo:D
8624 - [2024-04-12 11:42:56,213] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02829265594482422 | Chamado pela 12 vez | Arquivo:D
8728 - [2024-04-12 11:42:56,686] : DEBUG -> Tam_entrada: 100000| T_execução: 0.34153246879577637 | Chamado pela 0 vez | Arquivo:D
2320 - [2024-04-12 11:42:57,170] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3503293991088867 | Chamado pela 1 vez | Arquivo:D
8116 - [2024-04-12 11:42:57,708] : DEBUG -> Tam_entrada: 100000| T_execução: 0.39124011993408203 | Chamado pela 2 vez | Arquivo:D
6380 - [2024-04-12 11:42:58,183] : DEBUG -> Tam_entrada: 100000| T_execução: 0.34311771392822266 | Chamado pela 3 vez | Arquivo:D
8408 - [2024-04-12 11:42:58,646] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3293740749359131 | Chamado pela 4 vez | Arquivo:D
11056 - [2024-04-12 11:42:59,139] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3624591827392578 | Chamado pela 5 vez | Arquivo:D
