12048 - [2024-04-12 11:41:50,992] : DEBUG -> Tam_entrada: 10000| T_execução: 0.024074554443359375 | Chamado pela 11 vez | Arquivo:D
18320 - [2024-04-12 11:41:51,130] : DEBUG -> Tam_entrada: 10000| T_execução: 0.031401634216308594 | Chamado pela 12 vez | Arquivo:D
15900 - [2024-04-12 11:41:51,571] : DEBUG -> Tam_entrada: 100000| T_execução: 0.31136322021484375 | Chamado pela 0 vez | Arquivo:D
13872 - [2024-04-12 11:41:51,987] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2814357280731201 | Chamado pela 1 vez | Arquivo:D
5420 - [2024-04-12 11:41:52,406] : DEBUG -> Tam_entrada: 100000| T_execução: 0.29115819931030273 | Chamado pela 2 vez | Arquivo:D
7908 - [2024-04-12 11:41:52,906] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3063671588897705 | Chamado pela 3 vez | Arquivo:D
4620 - [2024-04-12 11:41:53,308] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2648947238922119 | Chamado pela 4 vez | Arquivo:D
9356 - [2024-04-12 11:41:53,706] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2706003189086914 | Chamado pela 5 vez | Arquivo:D
17976 - [2024-04-12 11:41:54,154] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2872154712677002 | Chamado pela 6 vez | Arquivo:D
18296 - [2024-04-12 11:41:54,586] : DEBUG -> Tam_entrada: 100000| T_execução: 0.30036377906799316 | Chamado pela 7 vez | Arquivo:D
18260 - [2024-04-12 11:41:55,015] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2931208610534668 | Chamado pela 8 vez | Arquivo:D
18232 - [2024-04-12 11:41:55,435] : DEBUG -> Tam_entrada: 100000| T_execução: 0.28577375411987305 | Chamado pela 9 vez | Arquivo:D
18184 - [2024-04-12 11:41:55,855] : DEBUG -> Tam_entrada: 100000| T_execução: 0.29074931144714355 | Chamado pela 10 vez | Arquivo:D
18156 - [2024-04-12 11:41:56,295] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3071928024291992 | Chamado pela 11 vez | Arquivo:D
4992 - [2024-04-12 11:41:56,716] : DEBUG -> Tam_entrada: 100000| T_execução: 0.29568052291870117 | Chamado pela 12 vez | Arquivo:D
15276 - [2024-04-12 11:41:56,829] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 0 vez | Arquivo:O
18388 - [2024-04-12 11:41:56,938] : DEBUG -> Tam_entrada: 100| T_execução: 0.0009980201721191406 | Chamado pela 1 vez | Arquivo:O
18368 - [2024-04-12 11:41:57,038] : DEBUG -> Tam_entrada: 100| T_execução: 0.001026153564453125 | Chamado pela 2 vez | Arquivo:O
12468 - [2024-04-12 11:41:57,130] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 3 vez | Arquivo:O
18292 - [2024-04-12 11:41:57,230] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:O
18416 - [2024-04-12 11:41:57,330] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 5 vez | Arquivo:O
1720 - [2024-04-12 11:41:57,424] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 6 vez | Arquivo:O
17532 - [2024-04-12 11:41:57,518] : DEBUG -> Tam_entrada: 100| T_execução: 0.0009970664978027344 | Chamado pela 7 vez | Arquivo:O
7408 - [2024-04-12 11:41:57,610] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 8 vez | Arquivo:O
16952 - [2024-04-12 11:41:57,710] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:O
8644 - [2024-04-12 11:41:57,803] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:O
16408 - [2024-04-12 11:41:57,894] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 11 vez | Arquivo:O
3764 - [2024-04-12 11:41:57,990] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:O
1812 - [2024-04-12 11:41:58,094] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0024480819702148438 | Chamado pela 0 vez | Arquivo:O
17840 - [2024-04-12 11:41:58,195] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001993894577026367 | Chamado pela 1 vez | Arquivo:O
17164 - [2024-04-12 11:41:58,293] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0015037059783935547 | Chamado pela 2 vez | Arquivo:O
16924 - [2024-04-12 11:41:58,388] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001993894577026367 | Chamado pela 3 vez | Arquivo:O
17096 - [2024-04-12 11:41:58,481] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001506805419921875 | Chamado pela 4 vez | Arquivo:O
13768 - [2024-04-12 11:41:58,573] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0017652511596679688 | Chamado pela 5 vez | Arquivo:O
5880 - [2024-04-12 11:41:58,666] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019943714141845703 | Chamado pela 6 vez | Arquivo:O
2920 - [2024-04-12 11:41:58,770] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009968280792236328 | Chamado pela 7 vez | Arquivo:O
17620 - [2024-04-12 11:41:58,875] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0020303726196289062 | Chamado pela 8 vez | Arquivo:O
13872 - [2024-04-12 11:41:58,980] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001993894577026367 | Chamado pela 9 vez | Arquivo:O
5420 - [2024-04-12 11:41:59,080] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019981861114501953 | Chamado pela 10 vez | Arquivo:O
17972 - [2024-04-12 11:41:59,180] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019919872283935547 | Chamado pela 11 vez | Arquivo:O
4512 - [2024-04-12 11:41:59,279] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001992464065551758 | Chamado pela 12 vez | Arquivo:O
12404 - [2024-04-12 11:41:59,408] : DEBUG -> Tam_entrada: 10000| T_execução: 0.023102760314941406 | Chamado pela 0 vez | Arquivo:O
18280 - [2024-04-12 11:41:59,535] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02654433250427246 | Chamado pela 1 vez | Arquivo:O
13232 - [2024-04-12 11:41:59,661] : DEBUG -> Tam_entrada: 10000| T_execução: 0.023000001907348633 | Chamado pela 2 vez | Arquivo:O
18228 - [2024-04-12 11:41:59,784] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02261066436767578 | Chamado pela 3 vez | Arquivo:O
17196 - [2024-04-12 11:41:59,905] : DEBUG -> Tam_entrada: 10000| T_execução: 0.023511886596679688 | Chamado pela 4 vez | Arquivo:O
18160 - [2024-04-12 11:42:00,057] : DEBUG -> Tam_entrada: 10000| T_execução: 0.028839826583862305 | Chamado pela 5 vez | Arquivo:O
16852 - [2024-04-12 11:42:00,182] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02214360237121582 | Chamado pela 6 vez | Arquivo:O
10700 - [2024-04-12 11:42:00,310] : DEBUG -> Tam_entrada: 10000| T_execução: 0.023015975952148438 | Chamado pela 7 vez | Arquivo:O
1800 - [2024-04-12 11:42:00,437] : DEBUG -> Tam_entrada: 10000| T_execução: 0.025514841079711914 | Chamado pela 8 vez | Arquivo:O
12732 - [2024-04-12 11:42:00,565] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02160501480102539 | Chamado pela 9 vez | Arquivo:O
18372 - [2024-04-12 11:42:00,691] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02184605598449707 | Chamado pela 10 vez | Arquivo:O
17548 - [2024-04-12 11:42:00,824] : DEBUG -> Tam_entrada: 10000| T_execução: 0.024033784866333008 | Chamado pela 11 vez | Arquivo:O
8828 - [2024-04-12 11:42:00,958] : DEBUG -> Tam_entrada: 10000| T_execução: 0.023139476776123047 | Chamado pela 12 vez | Arquivo:O
17536 - [2024-04-12 11:42:01,425] : DEBUG -> Tam_entrada: 100000| T_execução: 0.31937432289123535 | Chamado pela 0 vez | Arquivo:O
8540 - [2024-04-12 11:42:01,830] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2719259262084961 | Chamado pela 1 vez | Arquivo:O
15052 - [2024-04-12 11:42:02,219] : DEBUG -> Tam_entrada: 100000| T_execução: 0.26096129417419434 | Chamado pela 2 vez | Arquivo:O
15708 - [2024-04-12 11:42:02,633] : DEBUG -> Tam_entrada: 100000| T_execução: 0.28540825843811035 | Chamado pela 3 vez | Arquivo:O
9176 - [2024-04-12 11:42:03,091] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3355679512023926 | Chamado pela 4 vez | Arquivo:O
7296 - [2024-04-12 11:42:03,507] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2878851890563965 | Chamado pela 5 vez | Arquivo:O
17712 - [2024-04-12 11:42:03,923] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2906055450439453 | Chamado pela 6 vez | Arquivo:O
3764 - [2024-04-12 11:42:04,346] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2883260250091553 | Chamado pela 7 vez | Arquivo:O
17608 - [2024-04-12 11:42:04,741] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2645604610443115 | Chamado pela 8 vez | Arquivo:O
8748 - [2024-04-12 11:42:05,175] : DEBUG -> Tam_entrada: 100000| T_execução: 0.288463830947876 | Chamado pela 9 vez | Arquivo:O
12988 - [2024-04-12 11:42:05,609] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2976844310760498 | Chamado pela 10 vez | Arquivo:O
9912 - [2024-04-12 11:42:06,017] : DEBUG -> Tam_entrada: 100000| T_execução: 0.2802238464355469 | Chamado pela 11 vez | Arquivo:O
11356 - [2024-04-12 11:42:06,414] : DEBUG -> Tam_entrada: 100000| T_execução: 0.27219462394714355 | Chamado pela 12 vez | Arquivo:O
