18348 - [2024-04-12 11:41:50,243] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 6, | Type:D
18348 - [2024-04-12 11:41:50,365] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 7, | Type:D
18348 - [2024-04-12 11:41:50,493] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 8, | Type:D
18348 - [2024-04-12 11:41:50,616] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 9, | Type:D
18348 - [2024-04-12 11:41:50,742] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 10, | Type:D
18348 - [2024-04-12 11:41:50,868] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 11, | Type:D
18348 - [2024-04-12 11:41:51,002] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 12, | Type:D
18348 - [2024-04-12 11:41:51,140] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 0, | Type:D
18348 - [2024-04-12 11:41:51,587] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 1, | Type:D
18348 - [2024-04-12 11:41:51,999] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 2, | Type:D
18348 - [2024-04-12 11:41:52,419] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 3, | Type:D
18348 - [2024-04-12 11:41:52,921] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 4, | Type:D
18348 - [2024-04-12 11:41:53,320] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 5, | Type:D
18348 - [2024-04-12 11:41:53,722] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 6, | Type:D
18348 - [2024-04-12 11:41:54,167] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 7, | Type:D
18348 - [2024-04-12 11:41:54,598] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 8, | Type:D
18348 - [2024-04-12 11:41:55,029] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 9, | Type:D
18348 - [2024-04-12 11:41:55,448] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 10, | Type:D
18348 - [2024-04-12 11:41:55,869] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 11, | Type:D
18348 - [2024-04-12 11:41:56,307] : DEBUG -> Running mergesort algorithm on .\input\D_100000.txt - Time 12, | Type:D
18348 - [2024-04-12 11:41:56,731] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 0, | Type:O
18348 - [2024-04-12 11:41:56,839] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 1, | Type:O
18348 - [2024-04-12 11:41:56,947] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 2, | Type:O
18348 - [2024-04-12 11:41:57,046] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 3, | Type:O
18348 - [2024-04-12 11:41:57,141] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 4, | Type:O
18348 - [2024-04-12 11:41:57,239] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 5, | Type:O
18348 - [2024-04-12 11:41:57,340] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 6, | Type:O
18348 - [2024-04-12 11:41:57,433] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 7, | Type:O
18348 - [2024-04-12 11:41:57,526] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 8, | Type:O
18348 - [2024-04-12 11:41:57,619] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 9, | Type:O
18348 - [2024-04-12 11:41:57,720] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 10, | Type:O
18348 - [2024-04-12 11:41:57,812] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 11, | Type:O
18348 - [2024-04-12 11:41:57,903] : DEBUG -> Running mergesort algorithm on .\input\O_100.txt - Time 12, | Type:O
18348 - [2024-04-12 11:41:57,999] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 0, | Type:O
18348 - [2024-04-12 11:41:58,104] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 1, | Type:O
18348 - [2024-04-12 11:41:58,205] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 2, | Type:O
18348 - [2024-04-12 11:41:58,301] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 3, | Type:O
18348 - [2024-04-12 11:41:58,397] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 4, | Type:O
18348 - [2024-04-12 11:41:58,490] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 5, | Type:O
18348 - [2024-04-12 11:41:58,581] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 6, | Type:O
18348 - [2024-04-12 11:41:58,675] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 7, | Type:O
18348 - [2024-04-12 11:41:58,780] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 8, | Type:O
18348 - [2024-04-12 11:41:58,885] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 9, | Type:O
18348 - [2024-04-12 11:41:58,989] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 10, | Type:O
18348 - [2024-04-12 11:41:59,090] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 11, | Type:O
18348 - [2024-04-12 11:41:59,190] : DEBUG -> Running mergesort algorithm on .\input\O_1000.txt - Time 12, | Type:O
18348 - [2024-04-12 11:41:59,290] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 0, | Type:O
18348 - [2024-04-12 11:41:59,418] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 1, | Type:O
18348 - [2024-04-12 11:41:59,546] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 2, | Type:O
18348 - [2024-04-12 11:41:59,671] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 3, | Type:O
18348 - [2024-04-12 11:41:59,793] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 4, | Type:O
18348 - [2024-04-12 11:41:59,915] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 5, | Type:O
18348 - [2024-04-12 11:42:00,067] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 6, | Type:O
18348 - [2024-04-12 11:42:00,193] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 7, | Type:O
18348 - [2024-04-12 11:42:00,320] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 8, | Type:O
18348 - [2024-04-12 11:42:00,448] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 9, | Type:O
18348 - [2024-04-12 11:42:00,576] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 10, | Type:O
18348 - [2024-04-12 11:42:00,701] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 11, | Type:O
18348 - [2024-04-12 11:42:00,834] : DEBUG -> Running mergesort algorithm on .\input\O_10000.txt - Time 12, | Type:O
18348 - [2024-04-12 11:42:00,969] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 0, | Type:O
18348 - [2024-04-12 11:42:01,438] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 1, | Type:O
18348 - [2024-04-12 11:42:01,844] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 2, | Type:O
18348 - [2024-04-12 11:42:02,232] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 3, | Type:O
18348 - [2024-04-12 11:42:02,645] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 4, | Type:O
18348 - [2024-04-12 11:42:03,104] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 5, | Type:O
18348 - [2024-04-12 11:42:03,519] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 6, | Type:O
18348 - [2024-04-12 11:42:03,940] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 7, | Type:O
18348 - [2024-04-12 11:42:04,360] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 8, | Type:O
18348 - [2024-04-12 11:42:04,756] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 9, | Type:O
18348 - [2024-04-12 11:42:05,187] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 10, | Type:O
18348 - [2024-04-12 11:42:05,623] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 11, | Type:O
18348 - [2024-04-12 11:42:06,030] : DEBUG -> Running mergesort algorithm on .\input\O_100000.txt - Time 12, | Type:O
18348 - [2024-04-12 11:42:06,427] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 0, | Type:A
18348 - [2024-04-12 11:42:06,538] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 1, | Type:A
18348 - [2024-04-12 11:42:06,637] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 2, | Type:A
18348 - [2024-04-12 11:42:06,730] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 3, | Type:A
18348 - [2024-04-12 11:42:06,829] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 4, | Type:A
18348 - [2024-04-12 11:42:06,928] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 5, | Type:A
18348 - [2024-04-12 11:42:07,031] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 6, | Type:A
18348 - [2024-04-12 11:42:07,137] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 7, | Type:A
18348 - [2024-04-12 11:42:07,231] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 8, | Type:A
18348 - [2024-04-12 11:42:07,330] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 9, | Type:A
18348 - [2024-04-12 11:42:07,430] : DEBUG -> Running quicksort algorithm on .\input\A_100.txt - Time 10, | Type:A
