9876 - [2024-04-12 11:42:18,927] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019943714141845703 | Chamado pela 3 vez | Arquivo:D
5980 - [2024-04-12 11:42:19,031] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0015060901641845703 | Chamado pela 4 vez | Arquivo:D
9632 - [2024-04-12 11:42:19,134] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009968280792236328 | Chamado pela 5 vez | Arquivo:D
10040 - [2024-04-12 11:42:19,234] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002268552780151367 | Chamado pela 6 vez | Arquivo:D
17668 - [2024-04-12 11:42:19,329] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0010001659393310547 | Chamado pela 7 vez | Arquivo:D
11356 - [2024-04-12 11:42:19,427] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009937286376953125 | Chamado pela 8 vez | Arquivo:D
17784 - [2024-04-12 11:42:19,524] : DEBUG -> Tam_entrada: 1000| T_execução: 0.000997304916381836 | Chamado pela 9 vez | Arquivo:D
17628 - [2024-04-12 11:42:19,622] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0015041828155517578 | Chamado pela 10 vez | Arquivo:D
11044 - [2024-04-12 11:42:19,719] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019948482513427734 | Chamado pela 11 vez | Arquivo:D
7840 - [2024-04-12 11:42:19,816] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009970664978027344 | Chamado pela 12 vez | Arquivo:D
14924 - [2024-04-12 11:42:19,932] : DEBUG -> Tam_entrada: 10000| T_execução: 0.018000125885009766 | Chamado pela 0 vez | Arquivo:D
18324 - [2024-04-12 11:42:20,050] : DEBUG -> Tam_entrada: 10000| T_execução: 0.018515586853027344 | Chamado pela 1 vez | Arquivo:D
2356 - [2024-04-12 11:42:20,173] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01660299301147461 | Chamado pela 2 vez | Arquivo:D
17220 - [2024-04-12 11:42:20,290] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01755690574645996 | Chamado pela 3 vez | Arquivo:D
4512 - [2024-04-12 11:42:20,414] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01935267448425293 | Chamado pela 4 vez | Arquivo:D
18296 - [2024-04-12 11:42:20,536] : DEBUG -> Tam_entrada: 10000| T_execução: 0.019058942794799805 | Chamado pela 5 vez | Arquivo:D
13232 - [2024-04-12 11:42:20,664] : DEBUG -> Tam_entrada: 10000| T_execução: 0.023798704147338867 | Chamado pela 6 vez | Arquivo:D
18304 - [2024-04-12 11:42:20,779] : DEBUG -> Tam_entrada: 10000| T_execução: 0.01706981658935547 | Chamado pela 7 vez | Arquivo:D
